Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.285,0.1775,24,False
Parole lette da qualcun altro,0.019,0.9288,24,False
Pensieri come scritti,-0.243,0.2524,24,False
Pensieri ripetuti o echeggianti,-0.332,0.1131,24,False
Perdita di contatto con se stessi,-0.111,0.6072,24,False
Non essere più la stessa persona,0.068,0.7507,24,False
Vuoto interiore,-0.08,0.7097,24,False
Pensare a se stessi come un'altra persona,-0.043,0.8402,24,False
Disconnessione da sé e dai propri pensieri,-0.033,0.8782,24,False
Sensazione di non essere l'autore delle proprie azioni,-0.12,0.576,24,False
Dubbio tra dire e pensare,-0.144,0.5031,24,False
Guardarsi dall'esterno,-0.328,0.1174,24,False
Guardarsi da fuori dal corpo,-0.031,0.8873,24,False
Perdita di controllo del corpo,-0.099,0.6461,24,False
