Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.088,0.6313,32,False
Parole lette da qualcun altro,-0.36,0.0427,32,True
Pensieri come scritti,-0.037,0.8424,32,False
Pensieri ripetuti o echeggianti,-0.39,0.0272,32,True
Perdita di contatto con se stessi,-0.201,0.2698,32,False
Non essere più la stessa persona,-0.003,0.9882,32,False
Vuoto interiore,-0.043,0.814,32,False
Pensare a se stessi come un'altra persona,-0.369,0.0374,32,True
Disconnessione da sé e dai propri pensieri,-0.13,0.4771,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.18,0.3235,32,False
Dubbio tra dire e pensare,-0.142,0.4374,32,False
Guardarsi dall'esterno,-0.083,0.6498,32,False
Guardarsi da fuori dal corpo,-0.156,0.3925,32,False
Perdita di controllo del corpo,-0.315,0.0796,32,False
