Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.336,0.1876,17,False
Parole lette da qualcun altro,-0.267,0.3008,17,False
Pensieri come scritti,-0.074,0.7785,17,False
Pensieri ripetuti o echeggianti,0.017,0.9487,17,False
Perdita di contatto con se stessi,-0.334,0.1902,17,False
Non essere più la stessa persona,0.109,0.677,17,False
Vuoto interiore,0.289,0.2612,17,False
Pensare a se stessi come un'altra persona,-0.129,0.6228,17,False
Disconnessione da sé e dai propri pensieri,0.095,0.7166,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.143,0.5849,17,False
Dubbio tra dire e pensare,-0.538,0.026,17,True
Guardarsi dall'esterno,-0.258,0.3178,17,False
Guardarsi da fuori dal corpo,0.048,0.8542,17,False
Perdita di controllo del corpo,-0.74,0.0007,17,True
