Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.085,0.7549,16,False
Parole lette da qualcun altro,-0.395,0.1301,16,False
Pensieri come scritti,-0.033,0.9026,16,False
Pensieri ripetuti o echeggianti,-0.269,0.3146,16,False
Perdita di contatto con se stessi,-0.276,0.3013,16,False
Non essere più la stessa persona,-0.392,0.133,16,False
Vuoto interiore,-0.177,0.5118,16,False
Pensare a se stessi come un'altra persona,-0.19,0.482,16,False
Disconnessione da sé e dai propri pensieri,0.105,0.6984,16,False
Sensazione di non essere l'autore delle proprie azioni,-0.403,0.1216,16,False
Dubbio tra dire e pensare,,,16,False
Guardarsi dall'esterno,-0.426,0.0995,16,False
Guardarsi da fuori dal corpo,-0.403,0.1216,16,False
Perdita di controllo del corpo,-0.396,0.1293,16,False
