Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.366,0.1983,14,False
Parole lette da qualcun altro,-0.136,0.6433,14,False
Pensieri come scritti,-0.266,0.3584,14,False
Pensieri ripetuti o echeggianti,-0.54,0.0461,14,True
Perdita di contatto con se stessi,0.17,0.5619,14,False
Non essere più la stessa persona,-0.677,0.0079,14,True
Vuoto interiore,0.06,0.8388,14,False
Pensare a se stessi come un'altra persona,-0.62,0.0179,14,True
Disconnessione da sé e dai propri pensieri,0.037,0.8992,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.24,0.4095,14,False
Dubbio tra dire e pensare,-0.468,0.0917,14,False
Guardarsi dall'esterno,-0.23,0.4285,14,False
Guardarsi da fuori dal corpo,-0.184,0.53,14,False
Perdita di controllo del corpo,-0.279,0.3343,14,False
