Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.29,0.36,12,False
Parole lette da qualcun altro,-0.491,0.1053,12,False
Pensieri come scritti,-0.358,0.253,12,False
Pensieri ripetuti o echeggianti,-0.478,0.1159,12,False
Perdita di contatto con se stessi,0.107,0.7413,12,False
Non essere più la stessa persona,-0.155,0.6304,12,False
Vuoto interiore,-0.049,0.8788,12,False
Pensare a se stessi come un'altra persona,-0.426,0.167,12,False
Disconnessione da sé e dai propri pensieri,-0.223,0.4866,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.362,0.2481,12,False
Dubbio tra dire e pensare,-0.141,0.6629,12,False
Guardarsi dall'esterno,0.22,0.4915,12,False
Guardarsi da fuori dal corpo,-0.316,0.3173,12,False
Perdita di controllo del corpo,-0.555,0.0608,12,False
