Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.554,0.1214,9,False
Parole lette da qualcun altro,-0.454,0.22,9,False
Pensieri come scritti,-0.454,0.22,9,False
Pensieri ripetuti o echeggianti,-0.349,0.3568,9,False
Perdita di contatto con se stessi,-0.483,0.1875,9,False
Non essere più la stessa persona,-0.103,0.7913,9,False
Vuoto interiore,-0.767,0.0158,9,True
Pensare a se stessi come un'altra persona,-0.046,0.9064,9,False
Disconnessione da sé e dai propri pensieri,-0.113,0.7727,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.218,0.5725,9,False
Dubbio tra dire e pensare,-0.095,0.8071,9,False
Guardarsi dall'esterno,0.432,0.2457,9,False
Guardarsi da fuori dal corpo,-0.322,0.3978,9,False
Perdita di controllo del corpo,-0.262,0.4959,9,False
