Variable,r,p_value,N,Significant
Pensieri generati da altri,0.046,0.8817,13,False
Parole lette da qualcun altro,-0.179,0.5581,13,False
Pensieri come scritti,-0.579,0.0383,13,True
Pensieri ripetuti o echeggianti,-0.287,0.3423,13,False
Perdita di contatto con se stessi,-0.649,0.0165,13,True
Non essere più la stessa persona,-0.422,0.1509,13,False
Vuoto interiore,0.213,0.4838,13,False
Pensare a se stessi come un'altra persona,-0.147,0.6313,13,False
Disconnessione da sé e dai propri pensieri,-0.391,0.187,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.068,0.8252,13,False
Dubbio tra dire e pensare,-0.346,0.2463,13,False
Guardarsi dall'esterno,0.115,0.7093,13,False
Guardarsi da fuori dal corpo,0.288,0.34,13,False
Perdita di controllo del corpo,-0.372,0.2101,13,False
