Variable,r,p_value,N,Significant
Pensieri generati da altri,0.226,0.4582,13,False
Parole lette da qualcun altro,0.416,0.1576,13,False
Pensieri come scritti,0.025,0.9346,13,False
Pensieri ripetuti o echeggianti,0.293,0.3317,13,False
Perdita di contatto con se stessi,0.349,0.2421,13,False
Non essere più la stessa persona,0.087,0.7765,13,False
Vuoto interiore,-0.123,0.6889,13,False
Pensare a se stessi come un'altra persona,0.362,0.2239,13,False
Disconnessione da sé e dai propri pensieri,0.077,0.8031,13,False
Sensazione di non essere l'autore delle proprie azioni,0.358,0.2295,13,False
Dubbio tra dire e pensare,0.189,0.5372,13,False
Guardarsi dall'esterno,0.449,0.1236,13,False
Guardarsi da fuori dal corpo,0.293,0.3317,13,False
Perdita di controllo del corpo,0.317,0.2916,13,False
