Variable,r,p_value,N,Significant
Pensieri generati da altri,0.149,0.6446,12,False
Parole lette da qualcun altro,-0.322,0.307,12,False
Pensieri come scritti,-0.074,0.8183,12,False
Pensieri ripetuti o echeggianti,0.05,0.8784,12,False
Perdita di contatto con se stessi,0.05,0.8784,12,False
Non essere più la stessa persona,0.05,0.8784,12,False
Vuoto interiore,-0.124,0.7012,12,False
Pensare a se stessi come un'altra persona,-0.596,0.0407,12,True
Disconnessione da sé e dai propri pensieri,0.104,0.7484,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.322,0.307,12,False
Dubbio tra dire e pensare,-0.207,0.5178,12,False
Guardarsi dall'esterno,0.141,0.6618,12,False
Guardarsi da fuori dal corpo,0.028,0.9306,12,False
Perdita di controllo del corpo,0.05,0.8784,12,False
