Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.095,0.7681,12,False
Parole lette da qualcun altro,-0.242,0.4484,12,False
Pensieri come scritti,-0.082,0.799,12,False
Pensieri ripetuti o echeggianti,0.217,0.4985,12,False
Perdita di contatto con se stessi,-0.342,0.2765,12,False
Non essere più la stessa persona,-0.236,0.4606,12,False
Vuoto interiore,-0.457,0.135,12,False
Pensare a se stessi come un'altra persona,-0.242,0.4484,12,False
Disconnessione da sé e dai propri pensieri,-0.147,0.6481,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.236,0.4606,12,False
Dubbio tra dire e pensare,0.433,0.1593,12,False
Guardarsi dall'esterno,-0.108,0.7393,12,False
Guardarsi da fuori dal corpo,0.023,0.9427,12,False
Perdita di controllo del corpo,-0.261,0.412,12,False
