Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.097,0.7641,12,False
Parole lette da qualcun altro,0.024,0.9403,12,False
Pensieri come scritti,-0.148,0.6469,12,False
Pensieri ripetuti o echeggianti,0.0,1.0,12,False
Perdita di contatto con se stessi,-0.066,0.8373,12,False
Non essere più la stessa persona,-0.422,0.1713,12,False
Vuoto interiore,0.13,0.6866,12,False
Pensare a se stessi come un'altra persona,-0.291,0.3584,12,False
Disconnessione da sé e dai propri pensieri,0.521,0.0827,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.097,0.7641,12,False
Dubbio tra dire e pensare,0.137,0.6714,12,False
Disallineamento tra espressione e vissuto interno,0.132,0.6833,12,False
Guardarsi da fuori dal corpo,-0.476,0.1174,12,False
Perdita di controllo del corpo,-0.148,0.6469,12,False
