Variable,r,p_value,N,Significant
Pensieri generati da altri,0.276,0.1268,32,False
Parole lette da qualcun altro,0.161,0.3778,32,False
Pensieri come scritti,-0.259,0.1523,32,False
Pensieri ripetuti o echeggianti,0.079,0.6661,32,False
Perdita di contatto con se stessi,0.063,0.7322,32,False
Non essere più la stessa persona,0.05,0.7854,32,False
Vuoto interiore,-0.203,0.2644,32,False
Pensare a se stessi come un'altra persona,0.09,0.6244,32,False
Disconnessione da sé e dai propri pensieri,-0.134,0.4641,32,False
Sensazione di non essere l'autore delle proprie azioni,0.129,0.4826,32,False
Dubbio tra dire e pensare,-0.075,0.6828,32,False
Guardarsi dall'esterno,-0.083,0.6524,32,False
Guardarsi da fuori dal corpo,-0.094,0.6072,32,False
Perdita di controllo del corpo,-0.15,0.4137,32,False
