Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.152,0.5601,17,False
Parole lette da qualcun altro,-0.32,0.2099,17,False
Pensieri come scritti,0.236,0.3618,17,False
Pensieri ripetuti o echeggianti,0.178,0.4937,17,False
Perdita di contatto con se stessi,0.216,0.4056,17,False
Non essere più la stessa persona,0.184,0.4788,17,False
Vuoto interiore,0.144,0.5823,17,False
Pensare a se stessi come un'altra persona,-0.344,0.1769,17,False
Disconnessione da sé e dai propri pensieri,-0.038,0.8843,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.009,0.9731,17,False
Dubbio tra dire e pensare,0.21,0.4184,17,False
Guardarsi dall'esterno,0.201,0.439,17,False
Guardarsi da fuori dal corpo,0.203,0.4349,17,False
Perdita di controllo del corpo,0.089,0.7349,17,False
