Variable,r,p_value,N,Significant
Pensieri generati da altri,0.099,0.7154,16,False
Parole lette da qualcun altro,-0.253,0.3446,16,False
Pensieri come scritti,0.24,0.3707,16,False
Pensieri ripetuti o echeggianti,0.016,0.9537,16,False
Perdita di contatto con se stessi,0.055,0.8391,16,False
Non essere più la stessa persona,-0.204,0.4494,16,False
Vuoto interiore,0.044,0.8706,16,False
Pensare a se stessi come un'altra persona,-0.332,0.2091,16,False
Disconnessione da sé e dai propri pensieri,0.053,0.8466,16,False
Sensazione di non essere l'autore delle proprie azioni,-0.246,0.3594,16,False
Dubbio tra dire e pensare,,,16,False
Guardarsi dall'esterno,-0.111,0.6833,16,False
Guardarsi da fuori dal corpo,0.088,0.7468,16,False
Perdita di controllo del corpo,-0.026,0.9235,16,False
