Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.11,0.7069,14,False
Parole lette da qualcun altro,0.028,0.9236,14,False
Pensieri come scritti,-0.118,0.6885,14,False
Pensieri ripetuti o echeggianti,0.068,0.8179,14,False
Perdita di contatto con se stessi,0.3,0.2972,14,False
Non essere più la stessa persona,-0.083,0.7783,14,False
Vuoto interiore,0.409,0.1466,14,False
Pensare a se stessi come un'altra persona,-0.012,0.9667,14,False
Disconnessione da sé e dai propri pensieri,0.208,0.475,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.096,0.743,14,False
Dubbio tra dire e pensare,0.274,0.3431,14,False
Guardarsi dall'esterno,-0.246,0.3963,14,False
Guardarsi da fuori dal corpo,-0.377,0.184,14,False
Perdita di controllo del corpo,0.121,0.6805,14,False
