Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.114,0.7253,12,False
Parole lette da qualcun altro,-0.197,0.5385,12,False
Pensieri come scritti,-0.069,0.8302,12,False
Pensieri ripetuti o echeggianti,-0.338,0.2825,12,False
Perdita di contatto con se stessi,0.04,0.9016,12,False
Non essere più la stessa persona,0.073,0.8222,12,False
Vuoto interiore,0.396,0.2027,12,False
Pensare a se stessi come un'altra persona,-0.036,0.9109,12,False
Disconnessione da sé e dai propri pensieri,-0.042,0.8973,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.233,0.4663,12,False
Dubbio tra dire e pensare,-0.113,0.7273,12,False
Guardarsi dall'esterno,0.441,0.1509,12,False
Guardarsi da fuori dal corpo,0.274,0.3879,12,False
Perdita di controllo del corpo,-0.217,0.4989,12,False
