Variable,r,p_value,N,Significant
Pensieri generati da altri,0.366,0.2686,11,False
Parole lette da qualcun altro,0.064,0.8509,11,False
Pensieri come scritti,-0.139,0.6836,11,False
Pensieri ripetuti o echeggianti,0.069,0.8391,11,False
Perdita di contatto con se stessi,-0.28,0.4048,11,False
Non essere più la stessa persona,-0.075,0.826,11,False
Vuoto interiore,0.226,0.5046,11,False
Pensare a se stessi come un'altra persona,0.301,0.368,11,False
Disconnessione da sé e dai propri pensieri,-0.538,0.0879,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.035,0.9183,11,False
Dubbio tra dire e pensare,0.043,0.9,11,False
Guardarsi dall'esterno,-0.344,0.2999,11,False
Guardarsi da fuori dal corpo,0.109,0.75,11,False
Perdita di controllo del corpo,0.0,1.0,11,False
