Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.162,0.5652,15,False
Parole lette da qualcun altro,-0.344,0.2096,15,False
Pensieri come scritti,-0.172,0.5399,15,False
Pensieri ripetuti o echeggianti,-0.123,0.6612,15,False
Perdita di contatto con se stessi,0.225,0.4203,15,False
Non essere più la stessa persona,-0.04,0.8864,15,False
Vuoto interiore,0.002,0.9944,15,False
Pensare a se stessi come un'altra persona,0.049,0.8629,15,False
Disconnessione da sé e dai propri pensieri,0.309,0.262,15,False
Sensazione di non essere l'autore delle proprie azioni,0.515,0.0495,15,True
Dubbio tra dire e pensare,0.475,0.0738,15,False
Guardarsi dall'esterno,0.373,0.1711,15,False
Guardarsi da fuori dal corpo,0.137,0.6271,15,False
Perdita di controllo del corpo,0.585,0.022,15,True
