Variable,r,p_value,N,Significant
Pensieri generati da altri,0.112,0.7737,9,False
Parole lette da qualcun altro,0.423,0.2561,9,False
Pensieri come scritti,-0.12,0.7584,9,False
Pensieri ripetuti o echeggianti,-0.509,0.1614,9,False
Perdita di contatto con se stessi,0.275,0.4739,9,False
Non essere più la stessa persona,-0.208,0.5915,9,False
Vuoto interiore,,,9,False
Pensare a se stessi come un'altra persona,-0.55,0.125,9,False
Disconnessione da sé e dai propri pensieri,0.275,0.4739,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.55,0.125,9,False
Dubbio tra dire e pensare,-0.344,0.365,9,False
Guardarsi dall'esterno,-0.344,0.365,9,False
Guardarsi da fuori dal corpo,-0.052,0.8944,9,False
Perdita di controllo del corpo,-0.104,0.7901,9,False
