Variable,r,p_value,N,Significant
Pensieri generati da altri,0.165,0.5911,13,False
Parole lette da qualcun altro,-0.083,0.7874,13,False
Pensieri come scritti,0.088,0.7757,13,False
Pensieri ripetuti o echeggianti,-0.243,0.4246,13,False
Perdita di contatto con se stessi,0.315,0.2944,13,False
Non essere più la stessa persona,-0.234,0.4411,13,False
Vuoto interiore,-0.098,0.7494,13,False
Pensare a se stessi come un'altra persona,-0.213,0.4853,13,False
Disconnessione da sé e dai propri pensieri,0.238,0.4345,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.177,0.5623,13,False
Dubbio tra dire e pensare,-0.133,0.6644,13,False
Guardarsi dall'esterno,0.09,0.7707,13,False
Guardarsi da fuori dal corpo,-0.062,0.84,13,False
Perdita di controllo del corpo,0.071,0.8186,13,False
