Variable,r,p_value,N,Significant
Pensieri generati da altri,0.238,0.4566,12,False
Parole lette da qualcun altro,-0.225,0.4818,12,False
Pensieri come scritti,-0.103,0.7494,12,False
Pensieri ripetuti o echeggianti,0.261,0.4133,12,False
Perdita di contatto con se stessi,-0.237,0.4591,12,False
Non essere più la stessa persona,-0.4,0.1972,12,False
Vuoto interiore,-0.519,0.0838,12,False
Pensare a se stessi come un'altra persona,-0.225,0.4818,12,False
Disconnessione da sé e dai propri pensieri,-0.43,0.1625,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.4,0.1972,12,False
Dubbio tra dire e pensare,0.175,0.5854,12,False
Guardarsi dall'esterno,0.042,0.897,12,False
Guardarsi da fuori dal corpo,-0.339,0.2812,12,False
Perdita di controllo del corpo,0.191,0.5525,12,False
