Variable,r,p_value,N,Significant
Pensieri generati da altri,0.065,0.7204,33,False
Parole lette da qualcun altro,-0.101,0.5762,33,False
Pensieri come scritti,-0.134,0.4575,33,False
Pensieri ripetuti o echeggianti,0.069,0.7029,33,False
Perdita di contatto con se stessi,0.287,0.105,33,False
Non essere più la stessa persona,0.102,0.5721,33,False
Vuoto interiore,0.044,0.8091,33,False
Pensare a se stessi come un'altra persona,-0.122,0.4971,33,False
Disconnessione da sé e dai propri pensieri,0.151,0.4025,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.104,0.5634,33,False
Dubbio tra dire e pensare,-0.085,0.6394,33,False
Guardarsi dall'esterno,0.0,1.0,33,False
Guardarsi da fuori dal corpo,-0.102,0.5711,33,False
Perdita di controllo del corpo,-0.037,0.8392,33,False
