Variable,r,p_value,N,Significant
Pensieri generati da altri,0.036,0.8449,32,False
Parole lette da qualcun altro,-0.038,0.8385,32,False
Pensieri come scritti,-0.016,0.9303,32,False
Pensieri ripetuti o echeggianti,-0.204,0.263,32,False
Perdita di contatto con se stessi,-0.17,0.3529,32,False
Non essere più la stessa persona,-0.007,0.971,32,False
Vuoto interiore,-0.193,0.2909,32,False
Pensare a se stessi come un'altra persona,-0.112,0.5422,32,False
Disconnessione da sé e dai propri pensieri,-0.147,0.4216,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.166,0.3628,32,False
Dubbio tra dire e pensare,-0.289,0.109,32,False
Guardarsi dall'esterno,-0.213,0.2419,32,False
Guardarsi da fuori dal corpo,-0.154,0.4006,32,False
Perdita di controllo del corpo,-0.264,0.1443,32,False
