Variable,r,p_value,N,Significant
Pensieri generati da altri,0.323,0.2231,16,False
Parole lette da qualcun altro,-0.031,0.9082,16,False
Pensieri come scritti,0.376,0.1512,16,False
Pensieri ripetuti o echeggianti,0.11,0.6858,16,False
Perdita di contatto con se stessi,0.055,0.8404,16,False
Non essere più la stessa persona,-0.113,0.6767,16,False
Vuoto interiore,0.059,0.8294,16,False
Pensare a se stessi come un'altra persona,-0.063,0.8175,16,False
Disconnessione da sé e dai propri pensieri,-0.052,0.8478,16,False
Sensazione di non essere l'autore delle proprie azioni,-0.33,0.2112,16,False
Dubbio tra dire e pensare,,,16,False
Guardarsi dall'esterno,-0.125,0.6435,16,False
Guardarsi da fuori dal corpo,-0.087,0.7488,16,False
Perdita di controllo del corpo,-0.079,0.77,16,False
