Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.124,0.6731,14,False
Parole lette da qualcun altro,0.143,0.6246,14,False
Pensieri come scritti,-0.094,0.749,14,False
Pensieri ripetuti o echeggianti,-0.218,0.4536,14,False
Perdita di contatto con se stessi,0.412,0.1432,14,False
Non essere più la stessa persona,-0.305,0.2887,14,False
Vuoto interiore,0.34,0.2347,14,False
Pensare a se stessi come un'altra persona,-0.194,0.5063,14,False
Disconnessione da sé e dai propri pensieri,0.171,0.5592,14,False
Sensazione di non essere l'autore delle proprie azioni,0.0,1.0,14,False
Dubbio tra dire e pensare,0.024,0.9359,14,False
Guardarsi dall'esterno,-0.054,0.8541,14,False
Guardarsi da fuori dal corpo,-0.266,0.3584,14,False
Perdita di controllo del corpo,0.107,0.7161,14,False
