Variable,r,p_value,N,Significant
Pensieri generati da altri,0.1,0.7223,15,False
Parole lette da qualcun altro,-0.285,0.3024,15,False
Pensieri come scritti,-0.287,0.2998,15,False
Pensieri ripetuti o echeggianti,0.214,0.4431,15,False
Perdita di contatto con se stessi,-0.152,0.5884,15,False
Non essere più la stessa persona,0.014,0.9593,15,False
Vuoto interiore,-0.075,0.7896,15,False
Pensare a se stessi come un'altra persona,0.11,0.6966,15,False
Disconnessione da sé e dai propri pensieri,-0.093,0.742,15,False
Sensazione di non essere l'autore delle proprie azioni,0.403,0.1362,15,False
Dubbio tra dire e pensare,0.537,0.0391,15,True
Guardarsi dall'esterno,0.21,0.4528,15,False
Guardarsi da fuori dal corpo,0.161,0.5675,15,False
Perdita di controllo del corpo,0.505,0.0549,15,False
