Variable,r,p_value,N,Significant
Pensieri generati da altri,0.149,0.7019,9,False
Parole lette da qualcun altro,0.316,0.4071,9,False
Pensieri come scritti,-0.189,0.6258,9,False
Pensieri ripetuti o echeggianti,-0.47,0.2014,9,False
Perdita di contatto con se stessi,-0.274,0.4758,9,False
Non essere più la stessa persona,-0.621,0.0743,9,False
Vuoto interiore,,,9,False
Pensare a se stessi come un'altra persona,-0.548,0.1269,9,False
Disconnessione da sé e dai propri pensieri,-0.274,0.4758,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.548,0.1269,9,False
Dubbio tra dire e pensare,-0.411,0.2721,9,False
Guardarsi dall'esterno,-0.137,0.7254,9,False
Guardarsi da fuori dal corpo,-0.311,0.416,9,False
Perdita di controllo del corpo,0.104,0.791,9,False
