Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.05,0.8703,13,False
Parole lette da qualcun altro,-0.246,0.4185,13,False
Pensieri come scritti,-0.534,0.0603,13,False
Pensieri ripetuti o echeggianti,-0.28,0.3542,13,False
Perdita di contatto con se stessi,-0.644,0.0176,13,True
Non essere più la stessa persona,-0.515,0.0714,13,False
Vuoto interiore,0.287,0.3414,13,False
Pensare a se stessi come un'altra persona,-0.269,0.374,13,False
Disconnessione da sé e dai propri pensieri,-0.254,0.4031,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.217,0.4761,13,False
Dubbio tra dire e pensare,-0.339,0.2571,13,False
Guardarsi dall'esterno,0.0,1.0,13,False
Guardarsi da fuori dal corpo,0.149,0.6279,13,False
Perdita di controllo del corpo,-0.346,0.2473,13,False
