Variable,r,p_value,N,Significant
Pensieri generati da altri,0.237,0.4356,13,False
Parole lette da qualcun altro,0.435,0.1376,13,False
Pensieri come scritti,-0.09,0.7689,13,False
Pensieri ripetuti o echeggianti,0.288,0.3392,13,False
Perdita di contatto con se stessi,0.269,0.3736,13,False
Non essere più la stessa persona,0.046,0.8819,13,False
Vuoto interiore,-0.196,0.5211,13,False
Pensare a se stessi come un'altra persona,0.297,0.3244,13,False
Disconnessione da sé e dai propri pensieri,0.283,0.3481,13,False
Sensazione di non essere l'autore delle proprie azioni,0.397,0.1792,13,False
Dubbio tra dire e pensare,0.092,0.7659,13,False
Guardarsi dall'esterno,0.447,0.1254,13,False
Guardarsi da fuori dal corpo,0.233,0.4444,13,False
Perdita di controllo del corpo,0.235,0.4388,13,False
