Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.492,0.1487,10,False
Parole lette da qualcun altro,-0.322,0.3646,10,False
Pensieri come scritti,-0.429,0.216,10,False
Pensieri ripetuti o echeggianti,0.196,0.5877,10,False
Perdita di contatto con se stessi,-0.595,0.0693,10,False
Non essere più la stessa persona,-0.525,0.1188,10,False
Vuoto interiore,-0.25,0.4856,10,False
Pensare a se stessi come un'altra persona,-0.525,0.1188,10,False
Disconnessione da sé e dai propri pensieri,-0.322,0.3646,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.101,0.7811,10,False
Dubbio tra dire e pensare,-0.492,0.1487,10,False
Disallineamento tra espressione e vissuto interno,-0.138,0.7034,10,False
Guardarsi da fuori dal corpo,-0.229,0.5239,10,False
Perdita di controllo del corpo,-0.492,0.1487,10,False
