Variable,r,p_value,N,Significant
Pensieri generati da altri,0.148,0.6469,12,False
Parole lette da qualcun altro,-0.271,0.3947,12,False
Pensieri come scritti,0.049,0.8793,12,False
Pensieri ripetuti o echeggianti,0.074,0.8196,12,False
Perdita di contatto con se stessi,0.074,0.8196,12,False
Non essere più la stessa persona,0.074,0.8196,12,False
Vuoto interiore,-0.172,0.5924,12,False
Pensare a se stessi come un'altra persona,-0.515,0.0868,12,False
Disconnessione da sé e dai propri pensieri,-0.077,0.8115,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.271,0.3947,12,False
Dubbio tra dire e pensare,-0.206,0.5208,12,False
Guardarsi dall'esterno,0.14,0.6641,12,False
Guardarsi da fuori dal corpo,0.056,0.8627,12,False
Perdita di controllo del corpo,0.074,0.8196,12,False
