Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.226,0.48,12,False
Parole lette da qualcun altro,-0.011,0.9717,12,False
Pensieri come scritti,-0.002,0.9952,12,False
Pensieri ripetuti o echeggianti,-0.102,0.7517,12,False
Perdita di contatto con se stessi,-0.008,0.9812,12,False
Non essere più la stessa persona,-0.129,0.6898,12,False
Vuoto interiore,-0.253,0.4281,12,False
Pensare a se stessi come un'altra persona,-0.011,0.9717,12,False
Disconnessione da sé e dai propri pensieri,-0.143,0.6583,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.129,0.6898,12,False
Dubbio tra dire e pensare,0.335,0.2865,12,False
Guardarsi dall'esterno,0.069,0.8315,12,False
Guardarsi da fuori dal corpo,-0.368,0.2399,12,False
Perdita di controllo del corpo,-0.544,0.0676,12,False
