Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.024,0.9112,24,False
Parole lette da qualcun altro,-0.055,0.7994,24,False
Pensieri come scritti,-0.114,0.596,24,False
Pensieri ripetuti o echeggianti,-0.093,0.6671,24,False
Perdita di contatto con se stessi,0.115,0.591,24,False
Non essere più la stessa persona,0.146,0.4974,24,False
Vuoto interiore,0.05,0.8178,24,False
Pensare a se stessi come un'altra persona,-0.137,0.5242,24,False
Disconnessione da sé e dai propri pensieri,-0.107,0.6189,24,False
Sensazione di non essere l'autore delle proprie azioni,0.316,0.1321,24,False
Dubbio tra dire e pensare,0.269,0.2046,24,False
Guardarsi dall'esterno,0.223,0.2959,24,False
Guardarsi da fuori dal corpo,0.076,0.7237,24,False
Perdita di controllo del corpo,0.091,0.6735,24,False
