Variable,r,p_value,N,Significant
Pensieri generati da altri,0.194,0.288,32,False
Parole lette da qualcun altro,0.152,0.4061,32,False
Pensieri come scritti,-0.197,0.2791,32,False
Pensieri ripetuti o echeggianti,0.051,0.7829,32,False
Perdita di contatto con se stessi,-0.029,0.8728,32,False
Non essere più la stessa persona,-0.162,0.3758,32,False
Vuoto interiore,-0.133,0.4693,32,False
Pensare a se stessi come un'altra persona,0.057,0.7582,32,False
Disconnessione da sé e dai propri pensieri,-0.199,0.2757,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.03,0.8691,32,False
Dubbio tra dire e pensare,-0.126,0.4932,32,False
Guardarsi dall'esterno,-0.074,0.687,32,False
Guardarsi da fuori dal corpo,-0.058,0.7522,32,False
Perdita di controllo del corpo,-0.173,0.3449,32,False
