Variable,r,p_value,N,Significant
Pensieri generati da altri,0.158,0.5459,17,False
Parole lette da qualcun altro,-0.047,0.8565,17,False
Pensieri come scritti,0.389,0.1223,17,False
Pensieri ripetuti o echeggianti,0.397,0.115,17,False
Perdita di contatto con se stessi,0.147,0.5742,17,False
Non essere più la stessa persona,0.062,0.8133,17,False
Vuoto interiore,0.316,0.2164,17,False
Pensare a se stessi come un'altra persona,-0.025,0.9236,17,False
Disconnessione da sé e dai propri pensieri,-0.102,0.6974,17,False
Sensazione di non essere l'autore delle proprie azioni,0.178,0.4946,17,False
Dubbio tra dire e pensare,0.099,0.7059,17,False
Guardarsi dall'esterno,-0.008,0.9747,17,False
Guardarsi da fuori dal corpo,0.412,0.1002,17,False
Perdita di controllo del corpo,-0.034,0.8969,17,False
