Variable,r,p_value,N,Significant
Pensieri generati da altri,0.225,0.402,16,False
Parole lette da qualcun altro,-0.11,0.6849,16,False
Pensieri come scritti,0.323,0.222,16,False
Pensieri ripetuti o echeggianti,0.063,0.817,16,False
Perdita di contatto con se stessi,0.041,0.8796,16,False
Non essere più la stessa persona,-0.134,0.6203,16,False
Vuoto interiore,-0.029,0.914,16,False
Pensare a se stessi come un'altra persona,-0.236,0.3791,16,False
Disconnessione da sé e dai propri pensieri,-0.035,0.8979,16,False
Sensazione di non essere l'autore delle proprie azioni,-0.331,0.2098,16,False
Dubbio tra dire e pensare,,,16,False
Guardarsi dall'esterno,-0.11,0.6849,16,False
Guardarsi da fuori dal corpo,0.017,0.9489,16,False
Perdita di controllo del corpo,-0.035,0.8962,16,False
