Variable,r,p_value,N,Significant
Pensieri generati da altri,0.19,0.5147,14,False
Parole lette da qualcun altro,0.297,0.303,14,False
Pensieri come scritti,0.161,0.5817,14,False
Pensieri ripetuti o echeggianti,0.38,0.1797,14,False
Perdita di contatto con se stessi,0.501,0.0683,14,False
Non essere più la stessa persona,0.224,0.4415,14,False
Vuoto interiore,0.436,0.1191,14,False
Pensare a se stessi come un'altra persona,0.3,0.2975,14,False
Disconnessione da sé e dai propri pensieri,0.305,0.2891,14,False
Sensazione di non essere l'autore delle proprie azioni,0.169,0.5628,14,False
Dubbio tra dire e pensare,0.59,0.0265,14,True
Guardarsi dall'esterno,-0.064,0.828,14,False
Guardarsi da fuori dal corpo,-0.15,0.6096,14,False
Perdita di controllo del corpo,0.397,0.1604,14,False
