Variable,r,p_value,N,Significant
Pensieri generati da altri,0.387,0.2393,11,False
Parole lette da qualcun altro,0.104,0.761,11,False
Pensieri come scritti,-0.179,0.5983,11,False
Pensieri ripetuti o echeggianti,0.075,0.8269,11,False
Perdita di contatto con se stessi,-0.032,0.9249,11,False
Non essere più la stessa persona,-0.414,0.2059,11,False
Vuoto interiore,-0.075,0.826,11,False
Pensare a se stessi come un'altra persona,0.226,0.5041,11,False
Disconnessione da sé e dai propri pensieri,-0.161,0.6355,11,False
Sensazione di non essere l'autore delle proprie azioni,0.009,0.9796,11,False
Dubbio tra dire e pensare,-0.065,0.8504,11,False
Guardarsi dall'esterno,-0.161,0.6355,11,False
Guardarsi da fuori dal corpo,0.388,0.2386,11,False
Perdita di controllo del corpo,0.046,0.894,11,False
