Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.289,0.2969,15,False
Parole lette da qualcun altro,-0.412,0.127,15,False
Pensieri come scritti,-0.361,0.186,15,False
Pensieri ripetuti o echeggianti,-0.121,0.6681,15,False
Perdita di contatto con se stessi,0.211,0.4503,15,False
Non essere più la stessa persona,-0.12,0.6691,15,False
Vuoto interiore,0.176,0.5296,15,False
Pensare a se stessi come un'altra persona,-0.081,0.7752,15,False
Disconnessione da sé e dai propri pensieri,0.35,0.2008,15,False
Sensazione di non essere l'autore delle proprie azioni,0.566,0.0277,15,True
Dubbio tra dire e pensare,0.346,0.2072,15,False
Guardarsi dall'esterno,0.446,0.0959,15,False
Guardarsi da fuori dal corpo,0.014,0.9614,15,False
Perdita di controllo del corpo,0.361,0.186,15,False
