Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.857,0.0031,9,True
Parole lette da qualcun altro,-0.837,0.0048,9,True
Pensieri come scritti,-0.837,0.0048,9,True
Pensieri ripetuti o echeggianti,-0.606,0.0835,9,False
Perdita di contatto con se stessi,-0.525,0.1468,9,False
Non essere più la stessa persona,-0.317,0.4062,9,False
Vuoto interiore,-0.83,0.0056,9,True
Pensare a se stessi come un'altra persona,-0.365,0.3339,9,False
Disconnessione da sé e dai propri pensieri,0.224,0.563,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.433,0.2443,9,False
Dubbio tra dire e pensare,-0.478,0.193,9,False
Guardarsi dall'esterno,-0.06,0.8786,9,False
Guardarsi da fuori dal corpo,-0.411,0.2721,9,False
Perdita di controllo del corpo,-0.346,0.3611,9,False
