Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.334,0.2654,13,False
Parole lette da qualcun altro,-0.223,0.4646,13,False
Pensieri come scritti,-0.556,0.0485,13,True
Pensieri ripetuti o echeggianti,-0.471,0.1046,13,False
Perdita di contatto con se stessi,-0.519,0.0692,13,False
Non essere più la stessa persona,-0.454,0.1192,13,False
Vuoto interiore,0.156,0.6098,13,False
Pensare a se stessi come un'altra persona,-0.195,0.5228,13,False
Disconnessione da sé e dai propri pensieri,0.129,0.6747,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.088,0.7751,13,False
Dubbio tra dire e pensare,-0.312,0.2997,13,False
Guardarsi dall'esterno,0.0,1.0,13,False
Guardarsi da fuori dal corpo,-0.149,0.6274,13,False
Perdita di controllo del corpo,-0.38,0.2009,13,False
