Variable,r,p_value,N,Significant
Pensieri generati da altri,0.262,0.4366,11,False
Parole lette da qualcun altro,-0.058,0.8658,11,False
Pensieri come scritti,0.219,0.5175,11,False
Pensieri ripetuti o echeggianti,-0.192,0.5726,11,False
Perdita di contatto con se stessi,0.507,0.1116,11,False
Non essere più la stessa persona,-0.207,0.5424,11,False
Vuoto interiore,0.0,1.0,11,False
Pensare a se stessi come un'altra persona,-0.058,0.8658,11,False
Disconnessione da sé e dai propri pensieri,0.192,0.5726,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.1,0.7708,11,False
Dubbio tra dire e pensare,-0.007,0.9828,11,False
Guardarsi dall'esterno,0.065,0.8501,11,False
Guardarsi da fuori dal corpo,0.005,0.9881,11,False
Perdita di controllo del corpo,0.09,0.7928,11,False
