Variable,r,p_value,N,Significant
Pensieri generati da altri,0.122,0.7047,12,False
Parole lette da qualcun altro,-0.22,0.4914,12,False
Pensieri come scritti,0.073,0.8205,12,False
Pensieri ripetuti o echeggianti,0.024,0.9398,12,False
Perdita di contatto con se stessi,0.024,0.9398,12,False
Non essere più la stessa persona,0.024,0.9398,12,False
Vuoto interiore,-0.171,0.5943,12,False
Pensare a se stessi come un'altra persona,-0.512,0.0887,12,False
Disconnessione da sé e dai propri pensieri,-0.051,0.8744,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.22,0.4914,12,False
Dubbio tra dire e pensare,-0.205,0.5231,12,False
Guardarsi dall'esterno,0.195,0.5434,12,False
Guardarsi da fuori dal corpo,0.084,0.7961,12,False
Perdita di controllo del corpo,0.024,0.9398,12,False
