Variable,r,p_value,N,Significant
Pensieri generati da altri,0.014,0.9382,32,False
Parole lette da qualcun altro,-0.148,0.4188,32,False
Pensieri come scritti,-0.19,0.2985,32,False
Pensieri ripetuti o echeggianti,0.011,0.9525,32,False
Perdita di contatto con se stessi,0.272,0.1316,32,False
Non essere più la stessa persona,0.09,0.626,32,False
Vuoto interiore,0.013,0.9443,32,False
Pensare a se stessi come un'altra persona,-0.173,0.3444,32,False
Disconnessione da sé e dai propri pensieri,0.117,0.525,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.152,0.4063,32,False
Dubbio tra dire e pensare,-0.026,0.8862,32,False
Guardarsi dall'esterno,-0.081,0.6584,32,False
Guardarsi da fuori dal corpo,-0.142,0.4397,32,False
Perdita di controllo del corpo,-0.089,0.6266,32,False
