Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.157,0.4646,24,False
Parole lette da qualcun altro,0.14,0.5149,24,False
Pensieri come scritti,-0.172,0.4216,24,False
Pensieri ripetuti o echeggianti,-0.282,0.1826,24,False
Perdita di contatto con se stessi,0.038,0.86,24,False
Non essere più la stessa persona,0.158,0.4615,24,False
Vuoto interiore,-0.018,0.9321,24,False
Pensare a se stessi come un'altra persona,0.048,0.822,24,False
Disconnessione da sé e dai propri pensieri,-0.121,0.5717,24,False
Sensazione di non essere l'autore delle proprie azioni,0.133,0.5367,24,False
Dubbio tra dire e pensare,0.102,0.6368,24,False
Guardarsi dall'esterno,-0.041,0.848,24,False
Guardarsi da fuori dal corpo,0.142,0.5066,24,False
Perdita di controllo del corpo,-0.023,0.9136,24,False
