Variable,r,p_value,N,Significant
Pensieri generati da altri,0.067,0.721,31,False
Parole lette da qualcun altro,-0.004,0.9844,31,False
Pensieri come scritti,0.033,0.8595,31,False
Pensieri ripetuti o echeggianti,-0.172,0.3539,31,False
Perdita di contatto con se stessi,-0.18,0.3313,31,False
Non essere più la stessa persona,0.052,0.7801,31,False
Vuoto interiore,-0.262,0.154,31,False
Pensare a se stessi come un'altra persona,-0.036,0.8493,31,False
Disconnessione da sé e dai propri pensieri,-0.133,0.4744,31,False
Sensazione di non essere l'autore delle proprie azioni,-0.099,0.5953,31,False
Dubbio tra dire e pensare,-0.245,0.1837,31,False
Guardarsi dall'esterno,-0.129,0.4884,31,False
Guardarsi da fuori dal corpo,-0.209,0.2593,31,False
Perdita di controllo del corpo,-0.165,0.375,31,False
