Variable,r,p_value,N,Significant
Pensieri generati da altri,0.441,0.0996,15,False
Parole lette da qualcun altro,0.035,0.9017,15,False
Pensieri come scritti,0.528,0.0433,15,True
Pensieri ripetuti o echeggianti,0.175,0.5336,15,False
Perdita di contatto con se stessi,0.155,0.5818,15,False
Non essere più la stessa persona,-0.045,0.8724,15,False
Vuoto interiore,0.131,0.6416,15,False
Pensare a se stessi come un'altra persona,0.0,1.0,15,False
Disconnessione da sé e dai propri pensieri,-0.019,0.9456,15,False
Sensazione di non essere l'autore delle proprie azioni,-0.309,0.2626,15,False
Dubbio tra dire e pensare,,,15,False
Guardarsi dall'esterno,-0.07,0.8046,15,False
Guardarsi da fuori dal corpo,-0.039,0.8913,15,False
Perdita di controllo del corpo,0.008,0.9767,15,False
