Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.145,0.622,14,False
Parole lette da qualcun altro,0.123,0.6744,14,False
Pensieri come scritti,-0.114,0.6981,14,False
Pensieri ripetuti o echeggianti,-0.218,0.4542,14,False
Perdita di contatto con se stessi,0.39,0.1685,14,False
Non essere più la stessa persona,-0.305,0.2892,14,False
Vuoto interiore,0.339,0.2352,14,False
Pensare a se stessi come un'altra persona,-0.194,0.5068,14,False
Disconnessione da sé e dai propri pensieri,0.171,0.5596,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.02,0.946,14,False
Dubbio tra dire e pensare,0.024,0.936,14,False
Guardarsi dall'esterno,-0.075,0.799,14,False
Guardarsi da fuori dal corpo,-0.288,0.3187,14,False
Perdita di controllo del corpo,0.086,0.7704,14,False
