Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.142,0.66,12,False
Parole lette da qualcun altro,-0.331,0.2935,12,False
Pensieri come scritti,-0.275,0.3873,12,False
Pensieri ripetuti o echeggianti,-0.474,0.1196,12,False
Perdita di contatto con se stessi,0.053,0.8703,12,False
Non essere più la stessa persona,-0.027,0.933,12,False
Vuoto interiore,0.171,0.5943,12,False
Pensare a se stessi come un'altra persona,-0.267,0.4013,12,False
Disconnessione da sé e dai propri pensieri,-0.394,0.2048,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.256,0.4218,12,False
Dubbio tra dire e pensare,-0.028,0.9315,12,False
Guardarsi dall'esterno,0.48,0.1139,12,False
Guardarsi da fuori dal corpo,-0.014,0.966,12,False
Perdita di controllo del corpo,-0.424,0.1691,12,False
