Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.171,0.6161,11,False
Parole lette da qualcun altro,-0.113,0.7413,11,False
Pensieri come scritti,-0.148,0.6634,11,False
Pensieri ripetuti o echeggianti,-0.54,0.0862,11,False
Perdita di contatto con se stessi,0.021,0.9504,11,False
Non essere più la stessa persona,-0.522,0.0997,11,False
Vuoto interiore,0.075,0.8276,11,False
Pensare a se stessi come un'altra persona,-0.021,0.9504,11,False
Disconnessione da sé e dai propri pensieri,-0.405,0.2165,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.313,0.3481,11,False
Dubbio tra dire e pensare,-0.533,0.0914,11,False
Guardarsi dall'esterno,-0.213,0.5291,11,False
Guardarsi da fuori dal corpo,-0.135,0.6926,11,False
Perdita di controllo del corpo,0.241,0.4749,11,False
