SOURCE1,N_Patients,PANSS_scale,N_Significant,N_Total
ANIMAL,16,POS_PANSS,1,14
ANIMAL,16,NEG_PANSS,0,14
ANIMAL,16,DIS_PANSS,1,14
ANIMAL,16,EXC_PANSS,1,14
ANIMAL,16,EMO_PANSS,0,14
ANIMAL,16,TOT_PANSS,1,14
ANIMAL,16,PANSS_POS,1,14
ANIMAL,16,PANSS_NEG,0,14
ANIMAL,16,PANSS_GEN,0,14
ANIMAL,16,PANSS_TOT,2,14
ARTS,10,POS_PANSS,0,14
ARTS,10,NEG_PANSS,0,14
ARTS,10,DIS_PANSS,0,14
ARTS,10,EXC_PANSS,1,14
ARTS,10,EMO_PANSS,0,14
ARTS,10,TOT_PANSS,0,14
ARTS,10,PANSS_POS,1,14
ARTS,10,PANSS_NEG,1,14
ARTS,10,PANSS_GEN,0,14
ARTS,10,PANSS_TOT,0,14
BODY,11,POS_PANSS,1,14
BODY,11,NEG_PANSS,2,14
BODY,11,DIS_PANSS,4,14
BODY,11,EXC_PANSS,0,14
BODY,11,EMO_PANSS,0,14
BODY,11,TOT_PANSS,4,14
BODY,11,PANSS_POS,1,14
BODY,11,PANSS_NEG,5,14
BODY,11,PANSS_GEN,4,14
BODY,11,PANSS_TOT,4,14
BUILDING/HOUSE,14,POS_PANSS,1,14
BUILDING/HOUSE,14,NEG_PANSS,1,14
BUILDING/HOUSE,14,DIS_PANSS,2,14
BUILDING/HOUSE,14,EXC_PANSS,1,14
BUILDING/HOUSE,14,EMO_PANSS,3,14
BUILDING/HOUSE,14,TOT_PANSS,1,14
BUILDING/HOUSE,14,PANSS_POS,2,14
BUILDING/HOUSE,14,PANSS_NEG,1,14
BUILDING/HOUSE,14,PANSS_GEN,2,14
BUILDING/HOUSE,14,PANSS_TOT,2,14
CONSTRAINT/RELEASE,13,POS_PANSS,0,14
CONSTRAINT/RELEASE,13,NEG_PANSS,0,14
CONSTRAINT/RELEASE,13,DIS_PANSS,0,14
CONSTRAINT/RELEASE,13,EXC_PANSS,0,14
CONSTRAINT/RELEASE,13,EMO_PANSS,1,14
CONSTRAINT/RELEASE,13,TOT_PANSS,0,14
CONSTRAINT/RELEASE,13,PANSS_POS,0,14
CONSTRAINT/RELEASE,13,PANSS_NEG,0,14
CONSTRAINT/RELEASE,13,PANSS_GEN,0,14
CONSTRAINT/RELEASE,13,PANSS_TOT,0,14
DARK/LIGHT,12,POS_PANSS,0,14
DARK/LIGHT,12,NEG_PANSS,0,14
DARK/LIGHT,12,DIS_PANSS,0,14
DARK/LIGHT,12,EXC_PANSS,0,14
DARK/LIGHT,12,EMO_PANSS,0,14
DARK/LIGHT,12,TOT_PANSS,0,14
DARK/LIGHT,12,PANSS_POS,1,14
DARK/LIGHT,12,PANSS_NEG,0,14
DARK/LIGHT,12,PANSS_GEN,0,14
DARK/LIGHT,12,PANSS_TOT,0,14
LOCATION,13,POS_PANSS,0,14
LOCATION,13,NEG_PANSS,0,14
LOCATION,13,DIS_PANSS,0,14
LOCATION,13,EXC_PANSS,1,14
LOCATION,13,EMO_PANSS,0,14
LOCATION,13,TOT_PANSS,2,14
LOCATION,13,PANSS_POS,0,14
LOCATION,13,PANSS_NEG,0,14
LOCATION,13,PANSS_GEN,0,14
LOCATION,13,PANSS_TOT,0,14
NATURAL ELEMENT,35,POS_PANSS,0,14
NATURAL ELEMENT,35,NEG_PANSS,0,14
NATURAL ELEMENT,35,DIS_PANSS,0,14
NATURAL ELEMENT,35,EXC_PANSS,0,14
NATURAL ELEMENT,35,EMO_PANSS,0,14
NATURAL ELEMENT,35,TOT_PANSS,0,14
NATURAL ELEMENT,35,PANSS_POS,1,14
NATURAL ELEMENT,35,PANSS_NEG,0,14
NATURAL ELEMENT,35,PANSS_GEN,0,14
NATURAL ELEMENT,35,PANSS_TOT,0,14
OBJECT,24,POS_PANSS,0,14
OBJECT,24,NEG_PANSS,1,14
OBJECT,24,DIS_PANSS,0,14
OBJECT,24,EXC_PANSS,0,14
OBJECT,24,EMO_PANSS,1,14
OBJECT,24,TOT_PANSS,0,14
OBJECT,24,PANSS_POS,0,14
OBJECT,24,PANSS_NEG,0,14
OBJECT,24,PANSS_GEN,0,14
OBJECT,24,PANSS_TOT,0,14
PERSON,35,POS_PANSS,0,14
PERSON,35,NEG_PANSS,0,14
PERSON,35,DIS_PANSS,0,14
PERSON,35,EXC_PANSS,1,14
PERSON,35,EMO_PANSS,0,14
PERSON,35,TOT_PANSS,0,14
PERSON,35,PANSS_POS,0,14
PERSON,35,PANSS_NEG,3,14
PERSON,35,PANSS_GEN,0,14
PERSON,35,PANSS_TOT,0,14
RELIGION/MYTHOLOGY,19,POS_PANSS,0,14
RELIGION/MYTHOLOGY,19,NEG_PANSS,2,14
RELIGION/MYTHOLOGY,19,DIS_PANSS,0,14
RELIGION/MYTHOLOGY,19,EXC_PANSS,1,14
RELIGION/MYTHOLOGY,19,EMO_PANSS,1,14
RELIGION/MYTHOLOGY,19,TOT_PANSS,1,14
RELIGION/MYTHOLOGY,19,PANSS_POS,0,14
RELIGION/MYTHOLOGY,19,PANSS_NEG,2,14
RELIGION/MYTHOLOGY,19,PANSS_GEN,0,14
RELIGION/MYTHOLOGY,19,PANSS_TOT,1,14
SENSORY EXPERIENCE,16,POS_PANSS,0,14
SENSORY EXPERIENCE,16,NEG_PANSS,0,14
SENSORY EXPERIENCE,16,DIS_PANSS,0,14
SENSORY EXPERIENCE,16,EXC_PANSS,2,14
SENSORY EXPERIENCE,16,EMO_PANSS,2,14
SENSORY EXPERIENCE,16,TOT_PANSS,1,14
SENSORY EXPERIENCE,16,PANSS_POS,0,14
SENSORY EXPERIENCE,16,PANSS_NEG,0,14
SENSORY EXPERIENCE,16,PANSS_GEN,2,14
SENSORY EXPERIENCE,16,PANSS_TOT,0,14
TOOL,14,POS_PANSS,1,14
TOOL,14,NEG_PANSS,2,14
TOOL,14,DIS_PANSS,0,14
TOOL,14,EXC_PANSS,0,14
TOOL,14,EMO_PANSS,2,14
TOOL,14,TOT_PANSS,0,14
TOOL,14,PANSS_POS,0,14
TOOL,14,PANSS_NEG,3,14
TOOL,14,PANSS_GEN,0,14
TOOL,14,PANSS_TOT,0,14
VIOLENCE,13,POS_PANSS,0,14
VIOLENCE,13,NEG_PANSS,0,14
VIOLENCE,13,DIS_PANSS,0,14
VIOLENCE,13,EXC_PANSS,0,14
VIOLENCE,13,EMO_PANSS,1,14
VIOLENCE,13,TOT_PANSS,0,14
VIOLENCE,13,PANSS_POS,0,14
VIOLENCE,13,PANSS_NEG,0,14
VIOLENCE,13,PANSS_GEN,1,14
VIOLENCE,13,PANSS_TOT,0,14
WAR,12,POS_PANSS,0,14
WAR,12,NEG_PANSS,1,14
WAR,12,DIS_PANSS,1,14
WAR,12,EXC_PANSS,1,14
WAR,12,EMO_PANSS,0,14
WAR,12,TOT_PANSS,0,14
WAR,12,PANSS_POS,0,14
WAR,12,PANSS_NEG,4,14
WAR,12,PANSS_GEN,0,14
WAR,12,PANSS_TOT,0,14
