Variable,r,p_value,N,Significant
Pensieri generati da altri,0.008,0.983,9,False
Parole lette da qualcun altro,0.151,0.6989,9,False
Pensieri non propri,0.117,0.764,9,False
Pensieri come scritti,-0.703,0.0347,9,True
Pensieri ripetuti o echeggianti,-0.159,0.6828,9,False
Perdita di contatto con se stessi,-0.276,0.472,9,False
Non essere più la stessa persona,-0.276,0.472,9,False
Vuoto interiore,-0.343,0.366,9,False
Disconnessione da sé e dai propri pensieri,0.343,0.366,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.561,0.1163,9,False
Dubbio tra dire e pensare,-0.126,0.7476,9,False
Guardarsi dall'esterno,-0.293,0.4444,9,False
Guardarsi da fuori dal corpo,-0.109,0.7806,9,False
Perdita di controllo del corpo,-0.033,0.9319,9,False
