Variable,r,p_value,N,Significant
Pensieri generati da altri,0.124,0.6862,13,False
Parole lette da qualcun altro,-0.16,0.6016,13,False
Pensieri non propri,-0.014,0.9643,13,False
Pensieri come scritti,0.006,0.9857,13,False
Pensieri ripetuti o echeggianti,-0.102,0.74,13,False
Perdita di contatto con se stessi,0.041,0.8932,13,False
Non essere più la stessa persona,-0.394,0.1822,13,False
Vuoto interiore,0.052,0.865,13,False
Disconnessione da sé e dai propri pensieri,0.474,0.1014,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.044,0.8862,13,False
Dubbio tra dire e pensare,-0.13,0.6729,13,False
Guardarsi dall'esterno,0.105,0.7332,13,False
Guardarsi da fuori dal corpo,0.16,0.6016,13,False
Perdita di controllo del corpo,0.121,0.6928,13,False
