Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.111,0.7324,12,False
Parole lette da qualcun altro,-0.082,0.8,12,False
Pensieri non propri,0.264,0.4073,12,False
Pensieri come scritti,0.218,0.4971,12,False
Pensieri ripetuti o echeggianti,0.196,0.5413,12,False
Perdita di contatto con se stessi,0.068,0.8343,12,False
Non essere più la stessa persona,0.014,0.9649,12,False
Vuoto interiore,-0.364,0.2452,12,False
Disconnessione da sé e dai propri pensieri,0.282,0.3751,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.025,0.9386,12,False
Dubbio tra dire e pensare,-0.068,0.8343,12,False
Guardarsi dall'esterno,-0.175,0.587,12,False
Guardarsi da fuori dal corpo,0.096,0.766,12,False
Perdita di controllo del corpo,0.111,0.7324,12,False
