Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.28,0.3777,12,False
Parole lette da qualcun altro,0.375,0.23,12,False
Pensieri non propri,-0.046,0.8883,12,False
Pensieri come scritti,-0.021,0.9483,12,False
Pensieri ripetuti o echeggianti,0.238,0.456,12,False
Perdita di contatto con se stessi,0.245,0.4424,12,False
Non essere più la stessa persona,0.081,0.8035,12,False
Vuoto interiore,0.284,0.3715,12,False
Disconnessione da sé e dai propri pensieri,0.532,0.0748,12,False
Sensazione di non essere l'autore delle proprie azioni,0.263,0.4094,12,False
Dubbio tra dire e pensare,0.088,0.7867,12,False
Guardarsi dall'esterno,-0.161,0.6169,12,False
Guardarsi da fuori dal corpo,0.095,0.77,12,False
Perdita di controllo del corpo,0.21,0.5121,12,False
