Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.05,0.7874,32,False
Parole lette da qualcun altro,-0.181,0.3224,32,False
Pensieri non propri,-0.209,0.2514,32,False
Pensieri come scritti,-0.043,0.8144,32,False
Pensieri ripetuti o echeggianti,-0.244,0.1785,32,False
Perdita di contatto con se stessi,-0.049,0.7889,32,False
Non essere più la stessa persona,0.042,0.8191,32,False
Vuoto interiore,-0.082,0.6563,32,False
Disconnessione da sé e dai propri pensieri,-0.095,0.6035,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.139,0.4488,32,False
Dubbio tra dire e pensare,-0.279,0.1225,32,False
Guardarsi dall'esterno,-0.117,0.5234,32,False
Guardarsi da fuori dal corpo,-0.178,0.3294,32,False
Perdita di controllo del corpo,-0.157,0.3909,32,False
