Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.282,0.2734,17,False
Parole lette da qualcun altro,-0.17,0.5148,17,False
Pensieri non propri,-0.081,0.7568,17,False
Pensieri come scritti,0.039,0.8808,17,False
Pensieri ripetuti o echeggianti,0.162,0.5335,17,False
Perdita di contatto con se stessi,-0.148,0.5718,17,False
Non essere più la stessa persona,-0.149,0.5686,17,False
Vuoto interiore,-0.105,0.6896,17,False
Disconnessione da sé e dai propri pensieri,-0.016,0.9514,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.315,0.218,17,False
Dubbio tra dire e pensare,-0.25,0.3338,17,False
Guardarsi dall'esterno,-0.046,0.8623,17,False
Guardarsi da fuori dal corpo,0.032,0.903,17,False
Perdita di controllo del corpo,-0.439,0.0778,17,False
