Variable,r,p_value,N,Significant
Pensieri generati da altri,0.032,0.9049,16,False
Parole lette da qualcun altro,-0.414,0.1113,16,False
Pensieri non propri,0.151,0.5775,16,False
Pensieri come scritti,0.118,0.6629,16,False
Pensieri ripetuti o echeggianti,0.021,0.9394,16,False
Perdita di contatto con se stessi,0.05,0.8535,16,False
Non essere più la stessa persona,-0.493,0.0521,16,False
Vuoto interiore,-0.198,0.4624,16,False
Disconnessione da sé e dai propri pensieri,0.096,0.7236,16,False
Sensazione di non essere l'autore delle proprie azioni,0.016,0.9524,16,False
Dubbio tra dire e pensare,0.069,0.7984,16,False
Guardarsi dall'esterno,0.154,0.57,16,False
Guardarsi da fuori dal corpo,-0.198,0.4624,16,False
Perdita di controllo del corpo,0.069,0.7984,16,False
