Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.093,0.7518,14,False
Parole lette da qualcun altro,-0.097,0.7403,14,False
Pensieri non propri,0.168,0.5651,14,False
Pensieri come scritti,-0.104,0.7232,14,False
Pensieri ripetuti o echeggianti,0.193,0.5092,14,False
Perdita di contatto con se stessi,0.341,0.2327,14,False
Non essere più la stessa persona,0.011,0.97,14,False
Vuoto interiore,0.086,0.769,14,False
Disconnessione da sé e dai propri pensieri,0.1,0.7346,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.066,0.8214,14,False
Dubbio tra dire e pensare,0.013,0.964,14,False
Guardarsi dall'esterno,-0.326,0.256,14,False
Guardarsi da fuori dal corpo,-0.153,0.6019,14,False
Perdita di controllo del corpo,0.164,0.5755,14,False
