Variable,r,p_value,N,Significant
Pensieri generati da altri,0.021,0.9483,12,False
Parole lette da qualcun altro,-0.263,0.4094,12,False
Pensieri non propri,-0.039,0.9054,12,False
Pensieri come scritti,-0.287,0.3654,12,False
Pensieri ripetuti o echeggianti,-0.077,0.8119,12,False
Perdita di contatto con se stessi,0.182,0.571,12,False
Non essere più la stessa persona,0.112,0.7287,12,False
Vuoto interiore,0.091,0.7783,12,False
Disconnessione da sé e dai propri pensieri,-0.245,0.4424,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.126,0.6962,12,False
Dubbio tra dire e pensare,-0.14,0.6641,12,False
Guardarsi dall'esterno,-0.221,0.4907,12,False
Guardarsi da fuori dal corpo,0.126,0.6962,12,False
Perdita di controllo del corpo,-0.319,0.3126,12,False
