Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.31,0.3539,11,False
Parole lette da qualcun altro,-0.132,0.6986,11,False
Pensieri non propri,-0.241,0.4744,11,False
Pensieri come scritti,0.159,0.6396,11,False
Pensieri ripetuti o echeggianti,-0.437,0.1786,11,False
Perdita di contatto con se stessi,-0.068,0.8418,11,False
Non essere più la stessa persona,-0.214,0.5272,11,False
Vuoto interiore,0.132,0.6986,11,False
Disconnessione da sé e dai propri pensieri,0.041,0.9047,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.205,0.5454,11,False
Dubbio tra dire e pensare,-0.205,0.5454,11,False
Guardarsi dall'esterno,0.15,0.659,11,False
Guardarsi da fuori dal corpo,0.205,0.5454,11,False
Perdita di controllo del corpo,0.123,0.7186,11,False
