Variable,r,p_value,N,Significant
Pensieri generati da altri,0.005,0.9849,15,False
Parole lette da qualcun altro,-0.363,0.1838,15,False
Pensieri non propri,0.245,0.3791,15,False
Pensieri come scritti,-0.009,0.9748,15,False
Pensieri ripetuti o echeggianti,0.1,0.7227,15,False
Perdita di contatto con se stessi,0.338,0.2182,15,False
Non essere più la stessa persona,0.134,0.6339,15,False
Vuoto interiore,0.172,0.5409,15,False
Disconnessione da sé e dai propri pensieri,0.506,0.0544,15,False
Sensazione di non essere l'autore delle proprie azioni,0.486,0.0661,15,False
Dubbio tra dire e pensare,0.266,0.3374,15,False
Guardarsi dall'esterno,0.357,0.1908,15,False
Guardarsi da fuori dal corpo,0.029,0.9194,15,False
Perdita di controllo del corpo,0.34,0.2156,15,False
