Variable,r,p_value,N,Significant
Pensieri generati da altri,0.145,0.7103,9,False
Parole lette da qualcun altro,0.204,0.598,9,False
Pensieri non propri,-0.034,0.9307,9,False
Pensieri come scritti,0.281,0.464,9,False
Pensieri ripetuti o echeggianti,0.017,0.9653,9,False
Perdita di contatto con se stessi,0.349,0.3573,9,False
Non essere più la stessa persona,0.57,0.1088,9,False
Vuoto interiore,0.63,0.069,9,False
Disconnessione da sé e dai propri pensieri,0.162,0.6776,9,False
Sensazione di non essere l'autore delle proprie azioni,0.426,0.2534,9,False
Dubbio tra dire e pensare,0.119,0.7601,9,False
Guardarsi dall'esterno,-0.068,0.8618,9,False
Guardarsi da fuori dal corpo,-0.136,0.7268,9,False
Perdita di controllo del corpo,0.153,0.6939,9,False
